"sub","beta","comp","prod","roi","mod","lobe"
6,6.1263,0,1,"pmtg","prod","temp"
7,-0.0495,0,1,"pmtg","prod","temp"
8,1.147,0,1,"pmtg","prod","temp"
9,1.8972,0,1,"pmtg","prod","temp"
10,3.186,0,1,"pmtg","prod","temp"
11,0.8465,0,1,"pmtg","prod","temp"
12,1.2751,0,1,"pmtg","prod","temp"
13,2.7237,0,1,"pmtg","prod","temp"
14,0.7408,0,1,"pmtg","prod","temp"
15,2.4148,0,1,"pmtg","prod","temp"
16,5.3082,0,1,"pmtg","prod","temp"
17,1.3539,0,1,"pmtg","prod","temp"
18,-1.6918,0,1,"pmtg","prod","temp"
19,6.1668,0,1,"pmtg","prod","temp"
20,1.611,0,1,"pmtg","prod","temp"
21,2.1274,0,1,"pmtg","prod","temp"
22,3.1767,0,1,"pmtg","prod","temp"
23,1.9473,0,1,"pmtg","prod","temp"
24,-2.0456,0,1,"pmtg","prod","temp"
1,0.3838,0,1,"oper","prod","front"
2,-0.0883,0,1,"oper","prod","front"
3,6.0093,0,1,"oper","prod","front"
4,7.6188,0,1,"oper","prod","front"
5,7.1176,0,1,"oper","prod","front"
6,3.989,0,1,"oper","prod","front"
7,2.1115,0,1,"oper","prod","front"
8,1.6702,0,1,"oper","prod","front"
9,3.9716,0,1,"oper","prod","front"
10,2.9744,0,1,"oper","prod","front"
11,2.9207,0,1,"oper","prod","front"
12,1.0438,0,1,"oper","prod","front"
13,3.401,0,1,"oper","prod","front"
14,5.5597,0,1,"oper","prod","front"
15,1.6503,0,1,"oper","prod","front"
16,5.8898,0,1,"oper","prod","front"
17,1.0456,0,1,"oper","prod","front"
18,-4.9737,0,1,"oper","prod","front"
19,2.5243,0,1,"oper","prod","front"
20,1.0722,0,1,"oper","prod","front"
21,3.0787,0,1,"oper","prod","front"
22,4.5338,0,1,"oper","prod","front"
23,2.6141,0,1,"oper","prod","front"
24,-1.89,0,1,"oper","prod","front"
1,0.0337,0,1,"orb","prod","front"
2,0.8458,0,1,"orb","prod","front"
3,2.7207,0,1,"orb","prod","front"
4,5.615,0,1,"orb","prod","front"
5,3.6895,0,1,"orb","prod","front"
6,3.0105,0,1,"orb","prod","front"
7,2.7626,0,1,"orb","prod","front"
8,0.6846,0,1,"orb","prod","front"
9,1.1636,0,1,"orb","prod","front"
10,0.8997,0,1,"orb","prod","front"
11,-0.0147,0,1,"orb","prod","front"
12,0.4416,0,1,"orb","prod","front"
13,0.7523,0,1,"orb","prod","front"
14,0.7121,0,1,"orb","prod","front"
15,-0.5365,0,1,"orb","prod","front"
16,5.1246,0,1,"orb","prod","front"
17,2.5422,0,1,"orb","prod","front"
18,-1.9261,0,1,"orb","prod","front"
19,2.0998,0,1,"orb","prod","front"
20,0.81,0,1,"orb","prod","front"
21,-0.5258,0,1,"orb","prod","front"
22,2.5354,0,1,"orb","prod","front"
23,1.7831,0,1,"orb","prod","front"
24,-3.0276,0,1,"orb","prod","front"
1,-0.2525,0,1,"tri","prod","front"
2,0.4739,0,1,"tri","prod","front"
3,6.2935,0,1,"tri","prod","front"
4,9.3278,0,1,"tri","prod","front"
5,5.3391,0,1,"tri","prod","front"
6,4.5392,0,1,"tri","prod","front"
7,2.1144,0,1,"tri","prod","front"
8,1.0877,0,1,"tri","prod","front"
9,4.5112,0,1,"tri","prod","front"
10,0.6485,0,1,"tri","prod","front"
